Author,Year,Title,URL
Various,,Intelligence and National Security,https://www.tandfonline.com/journals/fint20
Paul Burke,2021,Intelligence and National Security: The National Security Problematique,https://link.springer.com/chapter/10.1007/978-3-030-53494-3_15
Various,2023,Secondary Sources - U.S. Intelligence Law,https://law.gwu.libguides.com/intelligence/secondary
Various,2024,Databases/Articles - Intelligence and National Security Studies,https://libguides.utep.edu/c.php?g=429966&p=2931898
Mariusz Kami?ski,2019,Intelligence Sources in the Process of Collection of Information by the U.S. Intelligence Community,https://www.researchgate.net/publication/340647256_Intelligence_Sources_in_the_Process_of_Collection_of_Information_by_the_US_Intelligence_Community
Daniel Irwin,2019,Improving information evaluation for intelligence production,https://www.tandfonline.com/doi/full/10.1080/02684527.2019.1569343
,2024,Research Guides: International Relations,https://libguides.usc.edu/IR/Intelligence
Daniel Irwin,2019,Improving information evaluation for intelligence production,https://www.tandfonline.com/doi/full/10.1080/02684527.2019.1569343
Seumas Miller,2022,National security intelligence activity: a philosophical analysis,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Office of the Director of National Intelligence (DNI),2023,What is Intelligence?,https://www.dni.gov/index.php/what-we-do/what-is-intelligence
George W. Croner,2021,The Intelligence Community and Open-Source Information in the Digital Age,https://www.fpri.org/article/2021/02/the-intelligence-community-and-open-source-information-in-the-digital-age/
,2024,Intelligence Studies: Types of Intelligence Collection,https://usnwc.libguides.com/c.php?g=494120&p=3381426
Office of the Director of National Intelligence,2019,The National Intelligence Strategy,https://www.dni.gov/files/ODNI/documents/National_Intelligence_Strategy_2019.pdf
Congressional Research Service,2019,The Director of National Intelligence (DNI),https://crsreports.congress.gov/product/pdf/IF/IF10470/7
Encyclopædia Britannica,2023,"Intelligence - Surveillance, Analysis, Collection",https://www.britannica.com/topic/intelligence-international-relations/Sources-of-intelligence
"Hamiliton Bean, Peter de Werd",2021,Critical intelligence studies: introduction to the special issue,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1893068
Peter Gill,2016,Intelligence Governance and Democratisation,Intelligence Governance and Democratisation | A Comparative Analysis o (taylorfrancis.com)
"James Pfiffner, Mark Phythian",2008,Intelligence and national security policymaking on Iraq : British and American perspectives,https://archive.org/details/intelligencenati0000unse/mode/1up
Loch K. Johnson,2011,The threat on the horizon : an inside account of America's search for security after the Cold War,https://archive.org/details/threatonhorizoni0000john/page/n6/mode/1up
M. Tuzuner,2010,Intelligence Cooperation Practices in the 21st Century: Towards a Culture of Sharing,https://www.iospress.com/catalog/books/intelligence-cooperation-practices-in-the-21st-century-towards-a-culture-of-sharing
,,,
"Stephen Marrin, Jonathan Clemente",2006,Improving Intelligence Analysis by Looking to the Medical Profession,https://www.tandfonline.com/doi/full/10.1080/08850600590945434
,,,
Michael Warner,2015,The Rise and Fall of Intelligence: An International Security History,https://www.researchgate.net/publication/271726315_Michael_Warner_The_Rise_and_Fall_of_Intelligence_An_International_Security_History
