Author,Year,Title,URL
Various,,Intelligence and National Security,https://www.tandfonline.com/journals/fint20
Paul Burke,2021,Intelligence and National Security: The National Security Problematique,https://link.springer.com/chapter/10.1007/978-3-030-53494-3_15
Various,2023,Secondary Sources - U.S. Intelligence Law,https://law.gwu.libguides.com/intelligence/secondary
Various,2024,Databases/Articles - Intelligence and National Security Studies,https://libguides.utep.edu/c.php?g=429966&p=2931898
Various,,Intelligence Sources in the Process of Collection of Information,https://www.researchgate.net/publication/340647256_Intelligence_Sources_in_the_Process_of_Collection_of_Information_by_the_US_Intelligence_Community
Not specified,2019,Improving information evaluation for intelligence production,https://www.tandfonline.com/doi/full/10.1080/02684527.2019.1569343
Not specified,2024,Research Guides: International Relations,https://libguides.usc.edu/IR/Intelligence
"Schum, Pechan, Cholvy, Nimier, Noble",2019,Improving information evaluation for intelligence production,https://www.tandfonline.com/doi/full/10.1080/02684527.2019.1569343
Seumas Miller,2022,National security intelligence activity: a philosophical analysis,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Office of the Director of National Intelligence (DNI),,What is Intelligence?,https://www.dni.gov/index.php/what-we-do/what-is-intelligence
George W. Croner,2021,The Intelligence Community and Open-Source Information in the Digital Age,https://www.fpri.org/article/2021/02/the-intelligence-community-and-open-source-information-in-the-digital-age/
Not specified,,Types of Intelligence Collection - Intelligence Studies,https://usnwc.libguides.com/c.php?g=494120&p=3381426
Office of the Director of National Intelligence,2019,The National Intelligence Strategy,https://www.dni.gov/files/ODNI/documents/National_Intelligence_Strategy_2019.pdf
Congressional Research Service,2019,The Director of National Intelligence (DNI),https://crsreports.congress.gov/product/pdf/IF/IF10470/7
Encyclopædia Britannica,,"Intelligence - Surveillance, Analysis, Collection",https://www.britannica.com/topic/intelligence-international-relations/Sources-of-intelligence
Peter de Werd,,Critical intelligence studies: introduction to the special issue,https://www.tandfonline.com/doi/full/10.1080/02684527.2021.1893068
Peter Gill,2020,Intelligence Democratisation and Its Discontents,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Mark Phythian,2020,"Intelligence Theory, Politicization, and the Iraq War",https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Loch K. Johnson,2020,The Threat on the Horizon: An Inside Account of America’s Search for Security after the Cold War,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Adam D.M. Svendsen,2020,Intelligence Cooperation Practices in the 21st Century: Towards a Culture of Sharing,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Jennifer Sims,2020,Intelligence to Counter Threats: Organizational and Doctrinal Challenges,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Stephen Marrin,2020,Improving Intelligence Analysis by Looking to the Medical Profession,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Richard J. Aldrich,2020,"Intelligence Studies, the Material Turn and the Development of Novel Methodologies",https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
Michael Warner,2020,The Rise and Fall of Intelligence: An International Security History,https://www.tandfonline.com/doi/full/10.1080/02684527.2022.2076329
