Author,Year,Title,URL
,1996,The Evolution of the U.S. Intelligence Community: An Historical Overview,The Evolution of the U.S. Intelligence Community: An Historical Overview (georgetown.edu)
Robert M. Clark,2022,Intelligence analysis: A target-centric approach,https://us.sagepub.com/en-us/nam/intelligence-analysis/book274957#description
Mark M. Lowenthal,2016,Intelligence: From Secrets to Policy,https://books.google.com/books/about/Intelligence.html?id=11S0DAAAQBAJ
Michael Warner,2014,The Rise and Fall of Intelligence: An International Security History,https://books.google.com/books/about/The_Rise_and_Fall_of_Intelligence.html?id=MWOgAwAAQBAJ
Gregory F. Treverton,2009,Intelligence for an Age of Terror,https://www.rand.org/pubs/commercial_books/CB415.html
Richard J. Aldrich,2010,GCHQ: The Uncensored Story of Britain's Most Secret Intelligence Agency,https://books.google.com/books/about/GCHQ.html?id=4I2PmCtrHOgC
Jeffrey T. Richelson,2016,The U.S. Intelligence Community,https://www.taylorfrancis.com/books/mono/10.4324/9780429494321/intelligence-community-jeffrey-richelson
John Ferris,2005,Intelligence and Strategy: Selected Essays,https://www.taylorfrancis.com/books/mono/10.4324/9780203963913/intelligence-strategy-john-ferris
Christopher R. Moran,2013,Classified: Secrecy and the State in Modern Britain,Classified: Secrecy and the State in Modern Britain - Christopher R. Moran - Google Books
Melvin A. Goodman,2017,Whistleblower at the CIA: An Insider s Account of the Politics of Intelligence,
Rhodri Jeffreys-Jones,2017,We know all about you : the story of surveillance in Britain and America,https://archive.org/details/weknowallaboutyo0000jeff
"Peter Gill, Mark Phythian",2018,Intelligence in An Insecure World,https://www.wiley.com/en-us/Intelligence+in+An+Insecure+World%2C+3rd+Edition-p-9781509525195
Jeffrey T. Richelson,2009,"Defusing Armageddon: Inside Nest, America's Secret Nuclear Bomb Squad",https://books.google.com/books/about/Defusing_Armageddon.html?id=nOSxmgEACAAJ
Michael Herman,1996,Intelligence Power in Peace and War,Intelligence Power in Peace and War (cambridge.org)
William J. Lahneman,2011,Keeping U.S. Intelligence Effective: The Need for a Revolution in Intelligence Affairs,Keeping U.S. Intelligence Effective: The Need for a Revolution in ... - William J. Lahneman - Google Books
Michael Warner,2014,The Rise and Fall of Intelligence: An International Security History,The Rise and Fall of Intelligence: An International Security History - Michael Warner - Google Books
"Glyn Lawson, Alex Stedmon",2014,Hostile Intent and Counter-Terrorism: Human Factors Theory and Application,Hostile Intent and Counter-Terrorism: Human Factors Theory and Application (Human Factors in Defence) | mitpressbookstore
Harold A. Trinkunas,2005,Crafting Civilian Control of the Military in Venezuela,Crafting Civilian Control of the Military in Venezuela: A Comparative ... - Harold A. Trinkunas - Google Books
Rhodri Jeffreys-Jones,2003,The CIA & American Democracy,https://books.google.com/books/about/The_CIA_American_Democracy.html?id=f1HwAwAAQBAJ
Michael Warner,2014,The Rise and Fall of Intelligence: An International Security History,https://books.google.com/books/about/The_Rise_and_Fall_of_Intelligence.html?id=MWOgAwAAQBAJ
"Roger Z. George, Robert D. Kline",2006,Intelligence and the National Security Strategist: Enduring Issues and Challenges,Intelligence and the National Security Strategist: Enduring Issues and ... - Google Books
"Roger Z. George, Robert D. Kline",2006,Intelligence and the National Security Strategist: Enduring Issues and Challenges,Intelligence and the National Security Strategist: Enduring Issues and ... - Google Books
,,,
,,,
Michael S. Goodman,2014,The Official History of the Joint Intelligence Committee: Volume I: From the Approach of the Second World War to the Suez Crisis,https://books.google.com/books/about/The_Official_History_of_the_Joint_Intell.html?id=r63cAwAAQBAJ
